procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  15744 63817924 207900 422128    0    0     0     0 2069 2285  3  0 97  0  0	
 3  0  15744 63817924 207900 422132    0    0     0     0 2072 2255  3  0 97  0  0	
 1  0  15744 63817924 207900 422140    0    0     0     0 2057 2233  3  0 97  0  0	
 1  0  15744 63817924 207900 422140    0    0     0    16 2096 2284  3  0 96  1  0	
 2  0  15744 63817924 207900 422144    0    0     0     0 2023 2187  3  0 97  0  0	
 1  0  15744 63817800 207900 422148    0    0     0     0 2064 2257  3  0 97  0  0	
 1  0  15744 63817800 207900 422152    0    0     0     0 2040 2214  3  0 97  0  0	
 1  0  15744 63817800 207900 422152    0    0     0     0 2069 2269  3  0 97  0  0	
 2  0  15744 63817800 207900 422160    0    0     0     0 2052 2232  3  0 97  0  0	
 1  0  15744 63817800 207900 422160    0    0     0     0 2071 2270  3  0 97  0  0	
 1  0  15744 63817800 207900 422168    0    0     0     0 2048 2227  3  0 97  0  0	
 3  0  15744 63817800 207900 422168    0    0     0     0 2101 2286  3  0 97  0  0	
 1  0  15744 63817800 207900 422172    0    0     0     0 2054 2272  3  0 97  0  0	
 1  0  15744 63817800 207900 422176    0    0     0     0 2071 2257  3  0 97  0  0	
 2  0  15744 63817800 207900 422180    0    0     0     0 2025 2211  3  0 97  0  0	
 1  0  15744 63817800 207900 422180    0    0     0     0 2097 2274  3  0 97  0  0	
 1  0  15744 63817800 207900 422188    0    0     0     0 2066 2223  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  15744 63817800 207900 422188    0    0     0     0 2073 2266  3  0 97  0  0	
 1  0  15744 63817792 207900 422192    0    0     0     0 2028 2190  3  0 97  0  0	
 2  0  15744 63817800 207900 422192    0    0     0     0 2071 2252  3  0 97  0  0	
 2  0  15744 63817804 207900 422196    0    0     0    12 2038 2229  3  0 96  1  0	
 1  0  15744 63817804 207900 422200    0    0     0     0 2071 2259  3  0 97  0  0	
 1  0  15744 63817688 207900 422208    0    0     0     0 2041 2226  3  0 97  0  0	
 1  0  15744 63817688 207900 422212    0    0     0     0 2086 2273  3  0 97  0  0	
 2  0  15744 63817688 207900 422220    0    0     0     0 2060 2272  3  0 97  0  0	
 1  0  15744 63817688 207900 422220    0    0     0     0 2057 2254  3  0 97  0  0	
 1  0  15744 63817688 207900 422224    0    0     0     0 2034 2205  3  0 97  0  0	
 3  0  15744 63817688 207900 422224    0    0     0     0 2081 2273  3  0 97  0  0	
 1  0  15744 63817688 207900 422232    0    0     0     0 2037 2209  3  0 97  0  0	
 1  0  15744 63817688 207900 422236    0    0     0     0 2083 2269  3  0 97  0  0	
 2  0  15744 63817688 207900 422240    0    0     0     0 2033 2213  3  0 97  0  0	
 1  0  15744 63817688 207900 422240    0    0     0     0 2056 2237  3  0 97  0  0	
 1  0  15744 63817688 207900 422244    0    0     0     0 2056 2227  3  0 97  0  0	
 3  0  15744 63817688 207900 422248    0    0     0     0 2080 2265  3  0 97  0  0	
 1  0  15744 63817688 207900 422248    0    0     0     0 2026 2199  3  0 97  0  0	
 1  0  15744 63817688 207900 422252    0    0     0     8 2075 2255  3  0 97  0  0	
 2  0  15744 63817688 207900 422256    0    0     0     0 2124 2335  3  0 97  0  0	
 1  0  15744 63817696 207900 422260    0    0     0     0 2052 2249  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
