procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0  11544 57964872 253504 743296    0    0     0     0 33051 8422 100  0  0  0  0	
32  0  11544 57963740 253504 743332    0    0     0     0 40705 7973 85  7  9  0  0	
32  0  11544 57964368 253504 743336    0    0     0     0 33027 8380 100  0  0  0  0	
32  0  11544 57964368 253504 743340    0    0     0    12 41380 8072 85  6  8  0  0	
32  0  11544 57964740 253504 743376    0    0     0     0 33022 8382 100  0  0  0  0	
32  0  11544 57962632 253504 743376    0    0     0     0 41366 8141 88  6  6  0  0	
32  0  11544 57963500 253504 743412    0    0     0     0 33017 8383 100  0  0  0  0	
32  0  11544 57962996 253504 743416    0    0     0     0 41678 8072 86  6  8  0  0	
32  0  11544 57963616 253504 743456    0    0     0     0 33023 8443 100  0  0  0  0	
34  0  11544 57962624 253504 743460    0    0     0     0 41284 8187 85  7  8  0  0	
32  0  11544 57963368 253504 743496    0    0     0     0 33033 8452 100  0  0  0  0	
32  0  11544 57962500 253504 743500    0    0     0     0 41267 8252 87  6  7  0  0	
32  0  11544 57962872 253504 743528    0    0     0     0 33027 8442 100  0  0  0  0	
 9  0  11544 57960144 253504 743528    0    0     0     0 40672 8215 91  6  3  0  0	
32  0  11544 57962632 253504 743556    0    0     0     0 33969 8669 95  1  4  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0  11544 57961276 253504 743564    0    0     0     0 37284 8465 97  3  0  0  0	
32  0  11544 57962268 253504 743588    0    0     0     0 37425 8091 90  3  7  0  0	
32  0  11544 57961640 253504 743588    0    0     0     0 33000 8440 100  0  0  0  0	
32  0  11544 57961516 253504 743628    0    0     0     0 41365 8079 86  6  8  0  0	
32  0  11544 57961400 253504 743632    0    0     0     0 33005 8435 100  0  0  0  0	
32  0  11544 57961028 253504 743648    0    0     0     0 41957 8148 87  6  7  0  0	
32  0  11544 57960904 253504 743672    0    0     0     0 33002 8453 100  0  0  0  0	
32  0  11544 57959176 253504 743676    0    0     0     0 41568 8119 86  6  8  0  0	
32  0  11544 57960788 253504 743712    0    0     0     0 32996 8437 100  0  0  0  0	
32  0  11544 57960540 253504 743716    0    0     0     0 41976 8155 87  6  7  0  0	
32  0  11544 57960912 253504 743748    0    0     0     0 33012 8457 100  0  0  0  0	
32  0  11544 57959424 253504 743752    0    0     0     0 40291 8118 87  6  7  0  0	
32  0  11544 57960408 253504 743796    0    0     0     0 33041 8516 100  0  0  0  0	
32  0  11544 57960656 253504 743796    0    0     0     0 41269 8181 86  6  7  0  0	
32  0  11544 57960532 253504 743824    0    0     0     0 33020 8446 100  0  0  0  0	
33  0  11544 57958300 253504 743828    0    0     0     0 42182 8572 87  6  7  0  0	
32  0  11544 57960408 253504 743856    0    0     0     0 33037 9091 99  0  1  0  0	
11  0  11544 57960400 253504 743856    0    0     0    16 34335 8340 94  4  2  0  0	
32  0  11544 57960152 253504 743884    0    0     0     0 37610 7754 82  4 14  0  0	
32  0  11544 57960656 253504 743888    0    0     0     8 33015 8438 100  0  0  0  0	
32  0  11544 57958672 253504 743924    0    0     0     0 41034 8122 86  6  7  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0  11544 57959532 253504 743924    0    0     0     0 33011 8446 100  0  0  0  0	
32  0  11544 57959648 253504 743928    0    0     0     0 41640 8534 87  6  6  0  0	
32  0  11544 57959400 253504 743964    0    0     0     0 33008 8441 100  0  0  0  0	
32  0  11544 57958912 253504 743972    0    0     0     0 40496 8031 83  7 10  0  0	
32  0  11544 57959656 253504 744004    0    0     0     0 33039 8472 100  0  0  0  0	
32  0  11544 57956236 253504 744008    0    0     0     0 41482 8063 85  7  8  0  0	
32  0  11544 57957732 253504 744044    0    0     0     0 33012 8434 100  0  0  0  0	
32  0  11544 57956988 253504 744048    0    0     0     0 41857 8221 87  6  7  0  0	
32  0  11544 57957484 253504 744080    0    0     0     0 33015 8457 100  0  0  0  0	
32  0  11544 57956368 253504 744088    0    0     0     0 41253 8207 87  6  7  0  0	
32  0  11544 57956988 253504 744120    0    0     0     0 33021 8448 100  0  0  0  0	
 8  0  11544 57955872 253504 744124    0    0     0     0 40764 8310 92  5  3  0  0	
