procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   5616 63818656 236940 347288    0    0     0     0 3056 2500  3  0 97  0  0	
 1  0   5616 63818524 236940 347292    0    0     0     0 3019 2402  3  0 97  0  0	
 1  0   5616 63818524 236940 347292    0    0     0     2 3046 2472  3  0 97  0  0	
 1  0   5616 63818524 236940 347296    0    0     0     8 3093 2547  3  0 97  0  0	
 1  0   5616 63818532 236940 347296    0    0     0     0 3099 2565  3  0 97  0  0	
 1  0   5616 63818540 236940 347300    0    0     0     0 3163 2686  3  0 97  0  0	
 1  0   5616 63818540 236940 347304    0    0     0     6 3205 2791  3  0 97  0  0	
 1  0   5616 63818540 236940 347308    0    0     0     0 3149 2658  3  0 97  0  0	
 2  0   5616 63818540 236940 347312    0    0     0     0 3034 2460  3  0 97  0  0	
 1  0   5616 63818408 236940 347312    0    0     0     0 3095 2560  3  0 97  0  0	
 1  0   5616 63818524 236940 347316    0    0     0     0 3050 2487  3  0 97  0  0	
 1  0   5616 63818524 236940 347316    0    0     0     8 3101 2579  3  0 96  0  0	
 1  0   5616 63818524 236940 347320    0    0     0     0 3279 2935  3  0 97  0  0	
 2  0   5616 63818524 236940 347324    0    0     0     0 3062 2506  3  0 97  0  0	
 1  0   5616 63818424 236940 347328    0    0     0     0 3131 2627  3  0 97  0  0	
 1  0   5616 63818408 236940 347332    0    0     0     0 3064 2512  3  0 97  0  0	
 1  0   5616 63818416 236940 347332    0    0     0     0 3034 2457  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   5616 63818416 236940 347336    0    0     0     0 3386 3147  3  0 97  0  0	
 1  0   5616 63818416 236940 347340    0    0     0     0 3041 2472  3  0 97  0  0	
 1  0   5616 63818540 236940 347344    0    0     0     8 3105 2586  3  0 96  0  0	
 1  0   5616 63818408 236940 347352    0    0     0     4 3083 2554  3  0 97  0  0	
 2  0   5616 63818408 236940 347360    0    0     0     0 3128 2628  3  0 97  0  0	
 1  0   5616 63818532 236940 347360    0    0     0     0 3232 2841  3  0 97  0  0	
 1  0   5616 63818524 236940 347360    0    0     0     0 3167 2715  3  0 97  0  0	
 2  0   5616 63818540 236940 347364    0    0     0     0 3043 2453  3  0 97  0  0	
 1  0   5616 63818524 236940 347368    0    0     0     0 3171 2722  3  0 97  0  0	
 1  0   5616 63818524 236940 347372    0    0     0     0 3129 2622  3  0 97  0  0	
 1  0   5616 63818524 236940 347376    0    0     0     0 3058 2465  3  0 97  0  0	
 1  0   5616 63818532 236940 347380    0    0     0     8 3012 2405  3  0 97  0  0	
 1  0   5616 63818532 236940 347380    0    0     0     0 3045 2439  3  0 97  0  0	
 1  0   5616 63818408 236940 347380    0    0     0     0 3012 2401  3  0 97  0  0	
 1  0   5616 63818392 236940 347384    0    0     0     0 3016 2402  3  0 97  0  0	
 1  0   5616 63818392 236940 347388    0    0     0     0 3012 2399  3  0 97  0  0	
 1  0   5616 63818400 236940 347392    0    0     0     0 3012 2400  3  0 97  0  0	
 1  0   5616 63818424 236940 347396    0    0     0     0 3024 2408  3  0 97  0  0	
 1  0   5616 63818408 236940 347400    0    0     0     0 3024 2432  3  0 97  0  0	
 1  0   5616 63818416 236940 347400    0    0     0    10 3016 2409  3  0 97  0  0	
