procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  12848 62852972 231632 793500    0    0     0     8 3029 2386  3  0 97  0  0	
 1  0  12848 62852980 231632 793500    0    0     0     0 3034 2427  3  0 97  0  0	
 2  0  12848 62852972 231632 793504    0    0     0     0 3003 2378  3  0 97  0  0	
 1  0  12848 62852972 231632 793504    0    0     0     0 3037 2422  3  0 97  0  0	
 2  0  12848 62852964 231632 793516    0    0     0     0 3017 2382  3  0 97  0  0	
 2  0  12848 62852964 231632 793516    0    0     0     0 3032 2413  3  0 97  0  0	
 1  0  12848 62852964 231632 793520    0    0     0     0 3016 2390  3  0 97  0  0	
 2  0  12848 62852964 231632 793520    0    0     0     0 3052 2433  3  0 97  0  0	
 2  0  12848 62852964 231632 793524    0    0     0     0 3010 2401  3  0 97  0  0	
 1  0  12848 62852964 231632 793524    0    0     0     0 3042 2420  3  0 97  0  0	
 2  0  12848 62852964 231632 793536    0    0     0     0 3053 2472  3  0 97  0  0	
 1  0  12848 62852972 231632 793536    0    0     0     0 3017 2420  3  0 97  0  0	
 1  0  12848 62852980 231632 793544    0    0     0     0 3036 2394  3  0 97  0  0	
 2  0  12848 62852980 231632 793544    0    0     0     0 2981 2400  3  0 97  0  0	
 1  0  12848 62852972 231632 793548    0    0     0    16 3138 2623  3  0 96  1  0	
 1  0  12848 62852972 231632 793548    0    0     0     0 3158 2681  3  0 97  0  0	
 2  0  12848 62852972 231632 793552    0    0     0     0 3075 2533  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  12848 62852972 231632 793552    0    0     0     0 3046 2465  3  0 97  0  0	
 2  0  12848 62852972 231632 793560    0    0     0     0 3137 2681  3  0 97  0  0	
 2  0  12848 62852972 231632 793560    0    0     0     0 3193 2822  3  0 97  0  0	
 1  0  12848 62852972 231632 793568    0    0     0     0 3599 3661  3  0 97  0  0	
 1  0  12848 62852972 231632 793572    0    0     0     0 3841 4065  3  0 97  0  0	
 1  0  12848 62852972 231632 793580    0    0     0     0 3060 2508  3  0 97  0  0	
