procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  12844 63206596 231632 637960    0    0     0     0 3004 2379  3  0 97  0  0	
 1  0  12844 63206596 231632 637964    0    0     0     0 3047 2439  3  0 97  0  0	
 2  0  12844 63206456 231632 637968    0    0     0     0 3079 2464  3  0 97  0  0	
 1  0  12844 63206464 231632 637972    0    0     0     0 3141 2649  3  0 97  0  0	
 1  0  12844 63206464 231632 637972    0    0     0     0 3280 2900  3  0 97  0  0	
 2  0  12844 63206464 231632 637976    0    0     0     0 3336 3012  3  0 97  0  0	
 2  0  12844 63206464 231632 637980    0    0     0     0 3232 2838  3  0 97  0  0	
 1  0  12844 63206464 231632 637980    0    0     0    12 3202 2717  3  0 96  1  0	
 2  0  12844 63206464 231632 637984    0    0     0     0 3249 2829  3  0 97  0  0	
 1  0  12844 63206464 231632 637988    0    0     0     0 3177 2713  3  0 97  0  0	
 1  0  12844 63206464 231632 637996    0    0     0     0 3198 2763  3  0 97  0  0	
 1  0  12844 63206472 231632 637996    0    0     0     0 3218 2803  3  0 97  0  0	
 1  0  12844 63206340 231632 638000    0    0     0     0 3378 3072  3  0 97  0  0	
 1  0  12844 63206340 231632 638004    0    0     0     0 3325 2970  3  0 97  0  0	
 1  0  12844 63206348 231632 638008    0    0     0     0 3343 3032  3  0 97  0  0	
 2  0  12844 63206348 231632 638008    0    0     0     0 3271 2913  3  0 97  0  0	
 1  0  12844 63206348 231632 638012    0    0     0     0 3227 2787  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  12844 63206348 231632 638016    0    0     0     0 3167 2694  3  0 97  0  0	
 1  0  12844 63206348 231632 638020    0    0     0    20 3020 2405  3  0 96  1  0	
 1  0  12844 63206356 231632 638020    0    0     0     0 3032 2419  3  0 97  0  0	
 1  0  12844 63206356 231632 638024    0    0     0     0 3011 2405  3  0 97  0  0	
 1  0  12844 63206356 231632 638032    0    0     0     0 3026 2419  3  0 97  0  0	
 2  0  12844 63206340 231632 638036    0    0     0     0 3035 2403  3  0 97  0  0	
 1  0  12844 63206348 231632 638036    0    0     0     0 3044 2446  3  0 97  0  0	
 1  0  12844 63206348 231632 638040    0    0     0     0 3021 2383  3  0 97  0  0	
 1  0  12844 63206348 231632 638044    0    0     0     0 3025 2429  3  0 97  0  0	
 1  0  12844 63206340 231632 638048    0    0     0     0 3063 2487  3  0 97  0  0	
 3  0  12844 63206208 231632 638048    0    0     0     0 3037 2423  3  0 97  0  0	
 1  0  12844 63206216 231632 638052    0    0     0     0 3009 2394  3  0 97  0  0	
 1  0  12844 63206224 231632 638056    0    0     0     0 3021 2415  3  0 97  0  0	
 1  0  12844 63206224 231632 638060    0    0     0     0 3031 2401  3  0 97  0  0	
 1  0  12844 63206224 231632 638064    0    0     0     0 3229 2745  3  0 97  0  0	
 4  0  12844 63206208 231632 638068    0    0     0     0 3280 2883  3  0 97  0  0	
 1  0  12844 63206208 231632 638072    0    0     0     0 3333 2991  3  0 97  0  0	
 1  0  12844 63206208 231632 638072    0    0     0     0 3158 2687  3  0 97  0  0	
 1  0  12844 63206208 231632 638076    0    0     0     0 3182 2718  3  0 97  0  0	
 1  0  12844 63206208 231632 638080    0    0     0     0 3221 2809  3  0 97  0  0	
 2  0  12844 63206208 231632 638084    0    0     0     0 3226 2772  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  12844 63206208 231632 638084    0    0     0     0 3269 2906  3  0 97  0  0	
 1  0  12844 63206340 231632 638088    0    0     0    12 3212 2784  3  0 97  0  0	
 1  0  12844 63206340 231632 638092    0    0     0     0 3239 2762  3  0 97  0  0	
 1  0  12844 63206340 231632 638096    0    0     0     0 3098 2546  3  0 97  0  0	
 3  0  12844 63206340 231632 638096    0    0     0     0 3021 2394  3  0 97  0  0	
 1  0  12844 63206348 231632 638100    0    0     0     0 3025 2419  3  0 97  0  0	
 1  0  12844 63206224 231632 638104    0    0     0     0 3006 2392  3  0 97  0  0	
 1  0  12844 63206224 231632 638108    0    0     0     0 3019 2421  3  0 97  0  0	
 1  0  12844 63206224 231632 638108    0    0     0     0 3129 2620  3  0 97  0  0	
 2  0  12844 63206224 231632 638112    0    0     0     0 3193 2734  3  0 97  0  0	
 2  0  12844 63206224 231632 638120    0    0     0     0 3261 2876  3  0 97  0  0	
 1  0  12844 63206224 231632 638124    0    0     0     0 3311 2970  3  0 97  0  0	
 1  0  12844 63206224 231632 638124    0    0     0     0 3291 2950  3  0 97  0  0	
 1  0  12844 63206356 231632 638128    0    0     0     0 3254 2864  3  0 97  0  0	
 2  0  12844 63206356 231632 638132    0    0     0     0 3053 2427  3  0 97  0  0	
 1  0  12844 63206348 231632 638132    0    0     0     0 3327 2946  3  0 97  0  0	
 1  0  12844 63206348 231632 638136    0    0     0     0 3220 2809  3  0 97  0  0	
 1  0  12844 63206348 231632 638140    0    0     0     0 3203 2776  3  0 97  0  0	
 1  0  12844 63206224 231632 638144    0    0     0     0 3382 3103  3  0 97  0  0	
 1  0  12844 63206216 231632 638144    0    0     0     0 3313 2971  3  0 97  0  0	
 2  0  12844 63206216 231632 638148    0    0     0     0 3206 2763  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  12844 63206224 231632 638152    0    0     0     0 3172 2717  3  0 97  0  0	
 1  0  12844 63206224 231632 638156    0    0     0     0 3311 2982  3  0 97  0  0	
 1  0  12844 63206224 231632 638156    0    0     0    16 3134 2617  3  0 96  1  0	
 1  0  12844 63206464 231632 638160    0    0     0     0 3099 2506  3  0 97  0  0	
 1  0  12844 63206472 231632 638164    0    0     0     0 3213 2791  3  0 97  0  0	
 1  0  12844 63206472 231632 638168    0    0     0     0 3141 2633  3  0 97  0  0	
 1  0  12844 63206472 231632 638168    0    0     0     0 3098 2562  3  0 97  0  0	
 3  0  12844 63206480 231632 638172    0    0     0     0 3097 2567  3  0 97  0  0	
 1  0  12844 63206480 231632 638180    0    0     0    12 3078 2482  3  0 96  1  0	
 1  0  12844 63206604 231632 638188    0    0     0     0 3007 2385  3  0 97  0  0	
 2  0  12844 63206596 231632 638188    0    0     0     0 3283 2908  3  0 97  0  0	
 1  0  12844 63206604 231632 638192    0    0     0     0 3171 2704  3  0 97  0  0	
 1  0  12844 63206628 231632 638196    0    0     0     0 3129 2630  3  0 97  0  0	
 1  0  12844 63206620 231632 638200    0    0     0     0 3201 2726  3  0 97  0  0	
 2  0  12844 63206620 231632 638200    0    0     0     0 3151 2657  3  0 97  0  0	
 1  0  12844 63206744 231632 638204    0    0     0     0 3217 2796  3  0 97  0  0	
 1  0  12844 63206744 231632 638208    0    0     0     0 3420 3198  3  0 97  0  0	
 1  0  12844 63206744 231632 638208    0    0     0     0 3257 2829  3  0 97  0  0	
 1  0  12844 63206752 231632 638212    0    0     0     0 3275 2884  3  0 97  0  0	
 1  0  12844 63206876 231632 638216    0    0     0     0 3259 2871  3  0 97  0  0	
 2  0  12844 63206876 231632 638220    0    0     0     0 3198 2736  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  12844 63207000 231632 638220    0    0     0     0 3178 2717  3  0 97  0  0	
 1  0  12844 63207000 231632 638224    0    0     0     0 3232 2822  3  0 97  0  0	
 1  0  12844 63206984 231632 638228    0    0     0     0 3109 2550  3  0 97  0  0	
 2  0  12844 63206992 231632 638232    0    0     0     0 3023 2395  3  0 97  0  0	
 1  0  12844 63206992 231632 638232    0    0     0     0 3199 2757  3  0 97  0  0	
 2  0  12844 63206992 231632 638236    0    0     0     0 3219 2776  3  0 97  0  0	
 1  0  12844 63206992 231632 638240    0    0     0     0 3295 2911  3  0 97  0  0	
 1  0  12844 63206984 231632 638244    0    0     0     0 3289 2938  3  0 97  0  0	
 1  0  12844 63206988 231632 638248    0    0     0     0 3149 2642  3  0 97  0  0	
 1  0  12844 63206988 231632 638252    0    0     0     0 3114 2609  3  0 97  0  0	
 4  0  12844 63206988 231632 638256    0    0     0     0 3142 2639  3  0 97  0  0	
 1  0  12844 63207120 231632 638260    0    0     0     0 3230 2779  3  0 97  0  0	
 1  0  12844 63207236 231632 638260    0    0     0     0 3258 2832  3  0 97  0  0	
 1  0  12844 63207228 231632 638264    0    0     0     0 3214 2785  3  0 97  0  0	
 1  0  12844 63207228 231632 638268    0    0     0     8 3096 2565  3  0 97  0  0	
 2  0  12844 63207104 231632 638272    0    0     0     0 3203 2758  3  0 97  0  0	
 1  0  12844 63207104 231632 638272    0    0     0     0 3185 2736  3  0 97  0  0	
 1  0  12844 63207104 231632 638276    0    0     0     0 3112 2557  3  0 97  0  0	
 2  0  12844 63207216 231632 638280    0    0     0     0 3277 2943  3  0 97  0  0	
 1  0  12844 63207224 231632 638280    0    0     0     0 3142 2633  3  0 97  0  0	
 2  0  12844 63207224 231632 638284    0    0     0     0 3257 2859  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  12844 63207224 231632 638288    0    0     0     0 3242 2856  3  0 97  0  0	
 3  0  12844 63207224 231632 638292    0    0     0    16 3241 2797  3  0 96  1  0	
 1  0  12844 63207232 231632 638292    0    0     0     0 3151 2668  3  0 97  0  0	
 1  0  12844 63207232 231632 638296    0    0     0     0 3166 2683  3  0 97  0  0	
 1  0  12844 63207232 231632 638300    0    0     0     0 3204 2792  3  0 97  0  0	
 1  0  12844 63207108 231632 638308    0    0     0     0 3213 2789  3  0 97  0  0	
 1  0  12844 63207232 231632 638308    0    0     0     0 3114 2583  3  0 97  0  0	
 1  0  12844 63207232 231632 638312    0    0     0     0 3159 2683  3  0 97  0  0	
 2  0  12844 63207240 231632 638316    0    0     0     0 3167 2693  3  0 97  0  0	
 2  0  12844 63207240 231632 638320    0    0     0     0 3151 2670  3  0 97  0  0	
 2  0  12844 63207240 231632 638324    0    0     0     0 3142 2661  3  0 97  0  0	
 1  0  12844 63207232 231632 638328    0    0     0     0 3248 2789  3  0 97  0  0	
 1  0  12844 63207232 231632 638332    0    0     0     0 3216 2768  3  0 97  0  0	
 1  0  12844 63207232 231632 638336    0    0     0     0 3337 3035  3  0 97  0  0	
 1  0  12844 63207232 231632 638336    0    0     0     0 3268 2886  3  0 97  0  0	
 4  0  12844 63207232 231632 638340    0    0     0     0 3194 2747  3  0 97  0  0	
 1  0  12844 63207224 231632 638344    0    0     0     0 3259 2843  3  0 97  0  0	
 1  0  12844 63207224 231632 638344    0    0     0     0 3152 2669  3  0 97  0  0	
 1  0  12844 63207232 231632 638348    0    0     0     0 3028 2428  3  0 97  0  0	
 1  0  12844 63207232 231632 638352    0    0     0     0 3002 2385  3  0 97  0  0	
 3  0  12844 63207224 231632 638356    0    0     0     0 3082 2449  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  12844 63206472 231632 638356    0    0     0     0 3093 2491  3  0 97  0  0	
 2  0  12844 63206224 231632 638360    0    0     0     0 3062 2447  3  0 97  0  0	
 1  0  12844 63206232 231632 638364    0    0     0     0 3007 2390  3  0 97  0  0	
 1  0  12844 63206232 231632 638368    0    0     0     0 3019 2418  3  0 97  0  0	
 1  0  12844 63206108 231632 638372    0    0     0     0 3005 2391  3  0 97  0  0	
 1  0  12844 63206108 231632 638376    0    0     0    12 3046 2437  3  0 96  1  0	
 3  0  12844 63205984 231632 638380    0    0     0     0 2995 2360  3  0 97  0  0	
 1  0  12844 63205984 231632 638384    0    0     0     0 3019 2411  3  0 97  0  0	
 3  0  12844 63205984 231632 638384    0    0     0     0 3008 2398  3  0 97  0  0	
 2  0  12844 63205992 231632 638388    0    0     0     0 3034 2427  3  0 97  0  0	
 1  0  12844 63205992 231632 638392    0    0     0     0 3027 2394  3  0 97  0  0	
 1  0  12844 63205984 231632 638396    0    0     0     8 3198 2739  3  0 97  0  0	
 1  0  12844 63205984 231632 638396    0    0     0     0 3239 2847  3  0 97  0  0	
 2  0  12844 63205984 231632 638400    0    0     0     0 3264 2895  3  0 97  0  0	
 1  0  12844 63205984 231632 638404    0    0     0     0 3218 2796  3  0 97  0  0	
 2  0  12844 63205976 231632 638408    0    0     0     0 3165 2695  3  0 97  0  0	
 1  0  12844 63205976 231632 638408    0    0     0     0 3245 2840  3  0 97  0  0	
 1  0  12844 63206116 231632 638412    0    0     0     0 3181 2717  3  0 97  0  0	
 1  0  12844 63206116 231632 638416    0    0     0     0 3009 2397  3  0 97  0  0	
 1  0  12844 63206116 231632 638416    0    0     0     0 3268 2877  3  0 97  0  0	
 3  0  12844 63206108 231632 638420    0    0     0    16 3211 2716  3  0 96  1  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
